                      ranks  Wall tot
=====================================
total...............      4     129.8

                      ranks  Wall max  Wall min  Wall avg
=========================================================
total...............      4     129.8     129.8     129.8
findInternal........      4  1.46e-05 1.212e-05 1.299e-05
findPeriodic........      4 2.227e-05 1.782e-05 2.053e-05
scatter.............      4    0.2486    0.2187    0.2313
accumulateHalo......      4    0.7051    0.1978    0.5399
fillHalo............      4    0.9274    0.5601    0.7184
gather..............      4    0.2834    0.2686    0.2753
particleBC..........      4   0.02881   0.01758   0.02178
updateParticle......      4     1.052      1.03     1.041
locateParticles.....      4    0.7337    0.6791    0.7076
neighborSearch......      4    0.7113    0.6611    0.6863
nonNeighboringParti.      4 2.049e-05 1.258e-05 1.509e-05
sendPreprocess......      4     0.197    0.1391    0.1628
particleSend........      4   0.09979   0.05829   0.07689
particleDestroy.....      4   0.03572   0.03042   0.03248
particleRecv........      4   0.08516   0.02846   0.06074
pushVelocity........      4     10.98     10.01     10.52
pushPosition........      4   0.04758    0.0428   0.04444
update..............      4      1.02    0.9986     1.011
solve...............      4     102.2     101.5     101.8
par2grid............      4     5.786      5.11     5.553
grid2par............      4     1.198    0.8196    0.9853
dump................      4    0.8926    0.4204    0.5452
